Pfam ID	number of PDBx structures	Family description
PF13861	5	FlgD Tudor-like domain
PF13596	5	PAS domain
PF13535	5	ATP-grasp domain
PF13505	5	Outer membrane protein beta-barrel domain
PF13017	5	piRNA pathway germ-plasm component
PF12945	5	Flagellar protein YcgR
PF12931	5	Sec23-binding domain of Sec16
PF12866	5	Protein of unknown function (DUF3823)
PF12682	5	Flavodoxin
PF12148	5	Tandem tudor domain within UHRF1
PF11893	5	Domain of unknown function (DUF3413)
PF11764	5	COMPASS (Complex proteins associated with Set1p) component N
PF11589	5	Domain of unknown function (DUF3244)
PF11527	5	The ARF-like 2 binding protein BART
PF11032	5	ApoM domain
PF10637	5	Oxoglutarate and iron-dependent oxygenase degradation C-term
PF10557	5	Cullin protein neddylation domain
PF10400	5	Virulence activator alpha C-term
PF10291	5	Muniscin C-terminal mu homology domain
PF10150	5	Ribonuclease E/G family
PF09924	5	Uncharacterised conserved protein (DUF2156)
PF09691	5	Type II secretion system pilotin lipoprotein (PulS_OutS)
PF09637	5	Med18 protein
PF09485	5	CRISPR-associated protein Cse2 (CRISPR_cse2)
PF09308	5	LuxQ, periplasmic
PF09271	5	LAG1, DNA binding
PF09270	5	Beta-trefoil DNA-binding domain
PF09259	5	Fungal immunomodulatory protein Fve
PF09229	5	Activator of Hsp90 ATPase, N-terminal
PF09183	5	Domain of unknown function (DUF1947)
PF09177	5	Syntaxin 6, N-terminal
PF09171	5	N-glycosylase/DNA lyase
PF09141	5	Talin, middle domain
PF09056	5	Prokaryotic phospholipase A2
PF09052	5	Salmonella invasion protein A
PF08964	5	Beta/Gamma crystallin
PF08923	5	Mitogen-activated protein kinase kinase 1 interacting
PF08848	5	Domain of unknown function (DUF1818)
PF08694	5	Ubiquitin-fold modifier-conjugating enzyme 1
PF08672	5	Anaphase promoting complex (APC) subunit 2
PF08355	5	EF hand associated
PF08299	5	Bacterial dnaA protein helix-turn-helix
PF08125	5	Mannitol dehydrogenase C-terminal domain
PF07733	5	Bacterial DNA polymerase III alpha subunit
PF07484	5	Phage Tail Collar Domain
PF07212	5	Hyaluronidase protein (HylP)
PF07091	5	Ribosomal RNA methyltransferase (FmrO)
PF06821	5	Serine hydrolase
PF06733	5	DEAD_2
PF06646	5	High affinity transport system protein p37
PF06619	5	Protein of unknown function (DUF1149)
PF06355	5	Aegerolysin
PF06342	5	Alpha/beta hydrolase of unknown function (DUF1057)
PF06249	5	Ethanolamine utilisation protein EutQ
PF06228	5	Haem utilisation ChuX/HutX
PF06180	5	Cobalt chelatase (CbiK)
PF06094	5	Gamma-glutamyl cyclotransferase, AIG2-like
PF05966	5	Chordopoxvirus A33R protein
PF05757	5	Oxygen evolving enhancer protein 3 (PsbQ)
PF05685	5	Putative restriction endonuclease
PF05683	5	Fumarase C-terminus
PF05641	5	Agenet domain
PF05524	5	PEP-utilising enzyme, N-terminal
PF05419	5	GUN4-like 
PF05337	5	Macrophage colony stimulating factor-1 (CSF-1)
PF04939	5	Ribosome biogenesis regulatory protein (RRS1)
PF04608	5	Phosphatidylglycerophosphatase A
PF04536	5	TPM domain
PF04471	5	Restriction endonuclease
PF04445	5	Putative SAM-dependent methyltransferase
PF04379	5	ApaG domain 
PF04303	5	PrpF protein
PF04237	5	YjbR
PF04085	5	rod shape-determining protein MreC
PF03921	5	Intercellular adhesion molecule (ICAM), N-terminal domain
PF03836	5	RasGAP C-terminus
PF03749	5	Sugar fermentation stimulation protein
PF03745	5	Domain of unknown function (DUF309)
PF03629	5	Carbohydrate esterase, sialic acid-specific acetylesterase
PF03548	5	Outer membrane lipoprotein carrier protein LolA
PF03531	5	Structure-specific recognition protein (SSRP1)
PF03442	5	Carbohydrate binding domain X2
PF03279	5	Bacterial lipid A biosynthesis acyltransferase
PF03212	5	Pertactin
PF03177	5	Non-repetitive/WGA-negative nucleoporin C-terminal
PF03096	5	Ndr family
PF02970	5	Tubulin binding cofactor A
PF02919	5	Eukaryotic DNA topoisomerase I, DNA binding fragment
PF02891	5	MIZ/SP-RING zinc finger
PF02752	5	Arrestin (or S-antigen), C-terminal domain
PF02732	5	ERCC4 domain
PF02599	5	Global regulator protein family
PF02552	5	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
PF02536	5	mTERF
PF02410	5	Ribosomal silencing factor during starvation 
PF02369	5	Bacterial Ig-like domain (group 1)
PF02327	5	Bacteriochlorophyll A protein
PF02244	5	Carboxypeptidase activation peptide
PF02196	5	Raf-like Ras-binding domain
PF02154	5	Flagellar motor switch protein FliM
PF02115	5	RHO protein GDP dissociation inhibitor
PF02027	5	RolB/RolC glucosidase family
PF02023	5	SCAN domain
PF02015	5	Glycosyl hydrolase family 45
PF01991	5	ATP synthase (E/31 kDa) subunit
PF01951	5	Archease protein family (MTH1598/TM1083)
PF01920	5	Prefoldin subunit
PF01905	5	CRISPR-associated negative auto-regulator DevR/Csa2
PF01789	5	PsbP
PF01782	5	RimM N-terminal domain
PF01709	5	Transcriptional regulator
PF01630	5	Hyaluronidase
PF01430	5	Hsp33 protein
PF01363	5	FYVE zinc finger
PF01330	5	RuvA N terminal domain
PF01232	5	Mannitol dehydrogenase Rossmann domain
PF01078	5	Magnesium chelatase, subunit ChlI
PF01066	5	CDP-alcohol phosphatidyltransferase
PF00952	5	Bunyavirus nucleocapsid (N) protein
PF00825	5	Ribonuclease P
PF00823	5	PPE family
PF00765	5	Autoinducer synthase
PF00666	5	Cathelicidin
PF00580	5	UvrD/REP helicase N-terminal domain
PF00504	5	Chlorophyll A-B binding protein
PF00311	5	Phosphoenolpyruvate carboxylase
PF00292	5	'Paired box' domain
PF00159	5	Pancreatic hormone peptide
PF00103	5	Somatotropin hormone family
PF17538	4	DNA Binding Domain (C-terminal) Leafy/Floricaula
PF16979	4	SAPK-interacting protein 1 (Sin1), Pleckstrin-homology
PF16889	4	Heparinase II/III N-terminus
PF16867	4	Dimethlysulfonioproprionate lyase
PF16849	4	Glycosyltransferase family 88
PF16822	4	SGNH hydrolase-like domain, acetyltransferase AlgX
PF16796	4	Microtubule binding
PF16697	4	Inner membrane component of T3SS, cytoplasmic domain
PF16617	4	Intersectin and clathrin adaptor AP2 binding region
PF16518	4	T3SS negative regulator,GrlR
PF16516	4	Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
PF16423	4	Transcription factor COE1 helix-loop-helix domain
PF16411	4	Outer membrane protein SusF_SusE
PF16193	4	AAA C-terminal domain
PF16022	4	Domain of unknown function (DUF4783)
PF15826	4	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF14947	4	Winged helix-turn-helix
PF14930	4	Quinohemoprotein amine dehydrogenase, alpha subunit domain II
PF14821	4	Threonine synthase N terminus
PF14795	4	Leucine-tRNA synthetase-specific domain
PF14586	4	Class I Histocompatibility antigen, NKG2D ligand, domains 1 and 2
PF14555	4	UBA-like domain
PF14539	4	Domain of unknown function (DUF4442)
PF14246	4	AefR-like transcriptional repressor, C-terminal region
PF13744	4	Helix-turn-helix domain
PF13520	4	Amino acid permease
PF13478	4	XdhC Rossmann domain
PF13411	4	MerR HTH family regulatory protein
PF13356	4	Arm DNA-binding domain
PF13307	4	Helicase C-terminal domain
PF13199	4	Glycosyl hydrolase family 66
PF12973	4	ChrR Cupin-like domain
PF12937	4	F-box-like
PF12930	4	Family of unknown function (DUF3836)
PF12883	4	Protein of unknown function (DUF3828)
PF12766	4	Pyridoxamine 5'-phosphate oxidase
PF12745	4	Anticodon binding domain of tRNAs
PF12367	4	Pyruvate ferredoxin oxidoreductase beta subunit C terminal
PF12212	4	PAZ domain
PF12207	4	Domain of unknown function (DUF3600)
PF12002	4	MgsA AAA+ ATPase C terminal
PF11738	4	Protein of unknown function (DUF3298)
PF11528	4	Protein of unknown function (DUF3224)
PF10722	4	Putative bacterial sensory transduction regulator
PF10229	4	Methylmalonic aciduria and homocystinuria type D protein
PF09711	4	CRISPR-associated protein (Cas_Csn2)
PF09537	4	Domain of unknown function (DUF2383)
PF09514	4	SSXRD motif
PF09477	4	Bacterial type II secretion system chaperone protein (type_III_yscG)
PF09453	4	HIRA B motif
PF09425	4	Divergent CCT motif
PF09377	4	SBDS protein C-terminal domain
PF09336	4	Vps4 C terminal oligomerisation domain
PF09210	4	Domain of unknown function (DUF1957)
PF09190	4	DALR domain
PF09130	4	Domain of unknown function (DUF1932)
PF09106	4	Elongation factor SelB, winged helix 
PF09100	4	Quinohemoprotein amine dehydrogenase, alpha subunit domain IV
PF09099	4	Quinohemoprotein amine dehydrogenase, alpha subunit domain III
PF09098	4	Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding
PF09013	4	YopH, N-terminal
PF08992	4	Quinohemoprotein amine dehydrogenase, gamma subunit
PF08969	4	USP8 dimerisation domain
PF08921	4	Domain of unknown function (DUF1904)
PF08841	4	Diol dehydratase reactivase ATPase-like domain
PF08818	4	Domain of unknown function (DU1801)
PF08816	4	Inhibitor of vertebrate lysozyme (Ivy)
PF08807	4	Bacterial domain of unknown function (DUF1798)
PF08671	4	Anti-repressor SinI
PF08662	4	Eukaryotic translation initiation factor eIF2A
PF08531	4	Alpha-L-rhamnosidase N-terminal domain
PF08460	4	Bacterial SH3 domain
PF08416	4	Phosphotyrosine-binding domain
PF08271	4	TFIIB zinc-binding
PF07986	4	Tubulin binding cofactor C
PF07949	4	YbbR-like protein
PF07888	4	Calcium binding and coiled-coil domain (CALCOCO1) like
PF07738	4	Sad1 / UNC-like C-terminal 
PF07541	4	Eukaryotic translation initiation factor 2 alpha subunit
PF07489	4	Translocated intimin receptor (Tir) C-terminus
PF07408	4	Protein of unknown function (DUF1507)
PF07396	4	Phosphate-selective porin O and P
PF07362	4	Post-segregation antitoxin CcdA
PF07233	4	Protein of unknown function (DUF1425)
PF07161	4	LppX_LprAFG lipoprotein
PF07110	4	EthD domain
PF07024	4	ImpE protein
PF06917	4	Periplasmic pectate lyase
PF06844	4	Protein of unknown function (DUF1244)
PF06684	4	Amino acid synthesis
PF06463	4	Molybdenum Cofactor Synthesis C
PF06304	4	Protein of unknown function (DUF1048)
PF06262	4	Zincin-like metallopeptidase
PF06178	4	Oligogalacturonate-specific porin protein (KdgM)
PF06154	4	CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A
PF06071	4	Protein of unknown function (DUF933)
PF05971	4	Protein of unknown function (DUF890)
PF05768	4	Glutaredoxin-like domain (DUF836)
PF05707	4	Zonular occludens toxin (Zot)
PF05592	4	Bacterial alpha-L-rhamnosidase concanavalin-like domain
PF05526	4	Rhodococcus equi virulence-associated protein
PF05214	4	Baculovirus P33
PF05192	4	MutS domain III
PF05190	4	MutS family domain IV
PF05188	4	MutS domain II
PF05157	4	Type II secretion system (T2SS), protein E, N-terminal domain
PF05147	4	Lanthionine synthetase C-like protein
PF05008	4	Vesicle transport v-SNARE protein N-terminus
PF04968	4	CHORD 
PF04962	4	KduI/IolB family
PF04869	4	Uso1 / p115 like vesicle tethering protein, head region
PF04775	4	Acyl-CoA thioester hydrolase/BAAT N-terminal region
PF04672	4	S-adenosyl methyltransferase
PF04628	4	Sedlin, N-terminal conserved region
PF04461	4	Protein of unknown function (DUF520)
PF04427	4	Brix domain
PF04421	4	Mss4 protein
PF04414	4	D-aminoacyl-tRNA deacylase
PF04410	4	Gar1/Naf1 RNA binding region
PF04383	4	KilA-N domain
PF04381	4	Putative exonuclease, RdgC
PF04348	4	LppC putative lipoprotein
PF04255	4	Protein of unknown function (DUF433)
PF04189	4	Gcd10p family
PF04170	4	NlpE N-terminal domain
PF04167	4	Protein of unknown function (DUF402)
PF03922	4	OmpW family
PF03876	4	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
PF03874	4	RNA polymerase Rpb4
PF03784	4	Cyclotide family
PF03746	4	LamB/YcsF family
PF03652	4	Holliday junction resolvase
PF03643	4	Vacuolar protein sorting-associated protein 26 
PF03625	4	Domain of unknown function DUF302 
PF03520	4	KCNQ voltage-gated potassium channel
PF03448	4	MgtE intracellular N domain
PF03440	4	Aerolysin/Pertussis toxin (APT) domain
PF03359	4	Guanylate-kinase-associated protein (GKAP) protein
PF03349	4	Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF03120	4	NAD-dependent DNA ligase OB-fold domain
PF03018	4	Dirigent-like protein
PF02938	4	GAD domain
PF02845	4	CUE domain
PF02744	4	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02718	4	Herpesvirus UL31-like protein
PF02663	4	FmdE, Molybdenum formylmethanofuran dehydrogenase operon 
PF02643	4	Uncharacterized ACR, COG1430
PF02641	4	Uncharacterized ACR, COG1993
PF02636	4	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02598	4	Putative RNA methyltransferase
PF02595	4	Glycerate kinase family
PF02507	4	Photosystem I reaction centre subunit III
PF02342	4	TerD domain
PF02250	4	35kD major secreted virus protein 
PF01994	4	tRNA ribose 2'-O-methyltransferase, aTrm56
PF01938	4	TRAM domain
PF01890	4	Cobalamin synthesis G C-terminus
PF01876	4	RNase P subunit p30
PF01815	4	Rop protein
PF01758	4	Sodium Bile acid symporter family
PF01735	4	Lysophospholipase catalytic domain
PF01726	4	LexA DNA binding domain
PF01706	4	FliG C-terminal domain
PF01643	4	Acyl-ACP thioesterase
PF01624	4	MutS domain I
PF01580	4	FtsK/SpoIIIE family
PF01541	4	GIY-YIG catalytic domain
PF01523	4	Putative modulator of DNA gyrase
PF01435	4	Peptidase family M48
PF01206	4	Sulfurtransferase TusA
PF01172	4	Shwachman-Bodian-Diamond syndrome (SBDS) protein 
PF01109	4	Granulocyte-macrophage colony-stimulating factor
PF01103	4	Surface antigen
PF01049	4	Cadherin cytoplasmic region
PF00995	4	Sec1 family
PF00766	4	Electron transfer flavoprotein FAD-binding domain
PF00720	4	Subtilisin inhibitor-like
PF00688	4	TGF-beta propeptide
PF00629	4	MAM domain, meprin/A5/mu
PF00559	4	Retroviral Vif (Viral infectivity) protein
PF00493	4	MCM2/3/5 family
PF00488	4	MutS domain V
PF00401	4	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00367	4	phosphotransferase system, EIIB
PF00358	4	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF00055	4	Laminin N-terminal (Domain VI)
PF17243	3	POTRA domain TamA domain 1
PF17207	3	MCM OB domain
PF16896	3	Phosphogluconate dehydrogenase (decarboxylating) C-term
PF16868	3	NMT1-like family
PF16680	3	T-cell surface glycoprotein CD3 delta chain 
PF16669	3	Tetratricopeptide repeat protein 5 OB fold domain
PF16646	3	Axin-1 tankyrase binding domain
PF16553	3	BCORL-PCGF1-binding domain
PF16517	3	Novel Ras effector 1 C-terminal SARAH (Sav/Rassf/Hpo) domain
PF16489	3	GPCR-Autoproteolysis INducing (GAIN) domain
PF16413	3	DNA mismatch repair protein Mlh1 C-terminus
PF16300	3	Type of WD40 repeat
PF16191	3	Ubiquitin-activating enzyme E1 four-helix bundle
PF16190	3	Ubiquitin-activating enzyme E1 FCCH domain
PF16139	3	Domain of unknown function (DUF4847)
PF15276	3	Protein phosphatase 1 binding
PF14743	3	DNA ligase OB-like domain
PF14730	3	Domain of unknown function (DUF4468) with TBP-like fold
PF14707	3	C-terminal region of aryl-sulfatase
PF14567	3	SMI1-KNR4 cell-wall
PF14542	3	GCN5-related N-acetyl-transferase
PF14529	3	Endonuclease-reverse transcriptase 
PF14504	3	CAP-associated N-terminal
PF14254	3	Domain of unknown function (DUF4348)
PF14186	3	Cytoskeletal adhesion
PF14099	3	Polysaccharide lyase
PF14059	3	Domain of unknown function (DUF4251)
PF13739	3	Domain of unknown function (DUF4163)
PF13692	3	Glycosyl transferases group 1
PF13585	3	C-terminal domain of CHU protein family
PF13540	3	Regulator of chromosome condensation (RCC1) repeat
PF12826	3	Helix-hairpin-helix motif
PF12704	3	MacB-like periplasmic core domain
PF12698	3	ABC-2 family transporter protein
PF12681	3	Glyoxalase-like domain
PF12627	3	Probable RNA and SrmB- binding site of polymerase A
PF12344	3	Ultra-violet resistance protein B
PF12256	3	Insecticide toxin TcdB middle/N-terminal region
PF12255	3	Insecticide toxin TcdB middle/C-terminal region
PF12150	3	Cytosolic motility protein
PF12058	3	Protein of unknown function (DUF3539)
PF11624	3	MHC class I-like protein M157
PF10980	3	Protein of unknown function (DUF2787)
PF10738	3	Probable lipoprotein LpqN
PF10632	3	He_PIG associated, NEW1 domain of bacterial glycohydrolase
PF10591	3	Secreted protein acidic and rich in cysteine Ca binding region
PF10585	3	Ubiquitin-activating enzyme active site 
PF10451	3	Telomere regulation protein Stn1
PF10033	3	Autophagy-related protein 13
PF09861	3	Domain of unknown function (DUF2088)
PF09494	3	Slx4 endonuclease
PF09442	3	Domain of unknown function (DUF2018)
PF09385	3	Histidine kinase N terminal
PF09358	3	Ubiquitin fold domain
PF09346	3	SMI1 / KNR4 family (SUKH-1)
PF09280	3	XPC-binding domain
PF09129	3	Cholesterol oxidase, substrate-binding
PF09111	3	SLIDE
PF09110	3	HAND
PF09105	3	Elongation factor SelB, winged helix 
PF09008	3	Head binding
PF08962	3	Domain of unknown function (DUF1876)
PF08953	3	Domain of unknown function (DUF1899)
PF08868	3	YugN-like family
PF08522	3	Domain of unknown function (DUF1735)
PF08479	3	POTRA domain, ShlB-type
PF08445	3	FR47-like protein
PF08279	3	HTH domain
PF08143	3	CBFNT (NUC161) domain
PF07966	3	A1 Propeptide 
PF07927	3	HicA toxin of bacterial toxin-antitoxin, 
PF07525	3	SOCS box
PF07522	3	DNA repair metallo-beta-lactamase
PF07499	3	RuvA, C-terminal domain
PF07486	3	Cell Wall Hydrolase
PF07350	3	Protein of unknown function (DUF1479)
PF07261	3	Replication initiation and membrane attachment
PF07208	3	Protein of unknown function (DUF1414)
PF07152	3	YaeQ protein
PF07075	3	Protein of unknown function (DUF1343)
PF07072	3	Cell division protein
PF06938	3	Protein of unknown function (DUF1285)
PF06907	3	Latexin
PF06588	3	Muskelin N-terminus
PF06583	3	Neogenin C-terminus
PF06468	3	Spondin_N
PF06384	3	Beta-catenin-interacting protein ICAT
PF06280	3	Fn3-like domain
PF06253	3	Trimethylamine methyltransferase (MTTB)
PF06240	3	Carbon monoxide dehydrogenase subunit G (CoxG)
PF05698	3	Bacterial trigger factor protein (TF) C-terminus
PF05630	3	Necrosis inducing protein (NPP1)
PF05591	3	Type VI secretion system, VipA, VC_A0107 or Hcp2
PF05527	3	Domain of unknown function (DUF758) 
PF05211	3	Neuraminyllactose-binding hemagglutinin precursor (NLBH)
PF05209	3	Septum formation inhibitor MinC, N-terminal domain
PF05172	3	Nup53/35/40-type RNA recognition motif
PF05153	3	Myo-inositol oxygenase
PF05134	3	Type II secretion system (T2SS), protein L
PF05108	3	Type VII secretion system ESX-1, transport TM domain B
PF05076	3	Suppressor of fused protein (SUFU)
PF04978	3	Protein of unknown function (DUF664)
PF04965	3	Gene 25-like lysozyme
PF04954	3	Siderophore-interacting protein
PF04928	3	Poly(A) polymerase central domain
PF04926	3	Poly(A) polymerase predicted RNA binding domain
PF04908	3	SH3-binding, glutamic acid-rich protein
PF04748	3	Divergent polysaccharide deacetylase
PF04670	3	Gtr1/RagA G protein conserved region
PF04564	3	U-box domain
PF04557	3	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2    
PF04480	3	Protein of unknown function (DUF559)
PF04392	3	ABC transporter substrate binding protein
PF04177	3	TAP42-like family
PF04013	3	Putative SAM-dependent RNA methyltransferase
PF03968	3	OstA-like protein
PF03892	3	Nitrate reductase cytochrome c-type subunit (NapB)
PF03881	3	Fructosamine kinase
PF03730	3	Ku70/Ku80 C-terminal arm
PF03705	3	CheR methyltransferase, all-alpha domain
PF03534	3	Salmonella virulence plasmid 65kDa B protein
PF03515	3	Colicin-like bacteriocin tRNase domain
PF03481	3	Putative GTP-binding controlling metal-binding
PF03398	3	Regulator of Vps4 activity in the MVB pathway
PF03287	3	Poxvirus C7/F8A protein
PF03256	3	Anaphase-promoting complex, subunit 10 (APC10)
PF03193	3	RsgA GTPase
PF03123	3	CAT RNA binding domain
PF03081	3	Exo70 exocyst complex subunit
PF02886	3	LBP / BPI / CETP family, C-terminal domain
PF02759	3	RUN domain
PF02751	3	Transcription initiation factor IIA, gamma subunit
PF02622	3	Uncharacterized ACR, COG1678
PF02568	3	Thiamine biosynthesis protein (ThiI)
PF02547	3	Queuosine biosynthesis protein
PF02318	3	FYVE-type zinc finger
PF02317	3	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
PF02268	3	Transcription initiation factor IIA, gamma subunit, helical domain
PF02121	3	Phosphatidylinositol transfer protein
PF02033	3	Ribosome-binding factor A
PF01985	3	CRS1 / YhbY (CRM) domain
PF01912	3	eIF-6 family
PF01863	3	Protein of unknown function DUF45
PF01840	3	TCL1/MTCP1 family
PF01807	3	CHC2 zinc finger
PF01765	3	Ribosome recycling factor
PF01640	3	Peptidase C10 family
PF01637	3	ATPase domain predominantly from Archaea
PF01399	3	PCI domain
PF01339	3	CheB methylesterase
PF01291	3	LIF / OSM family
PF01067	3	Calpain large subunit, domain III
PF00946	3	Mononegavirales RNA dependent RNA polymerase 
PF00925	3	GTP cyclohydrolase II
PF00888	3	Cullin family
PF00758	3	Erythropoietin/thrombopoietin
PF00714	3	Interferon gamma
PF00527	3	E7 protein, Early protein
PF00518	3	Early Protein (E6)
PF00458	3	WHEP-TRS domain
PF00165	3	Bacterial regulatory helix-turn-helix proteins, AraC family
PF17127	2	Domain of unknown function (DUF5106)
PF16731	2	Glutamic acid/alanine-rich protein of Trypanosoma
PF16381	2	Coatomer subunit gamma-1 C-terminal appendage platform
PF16343	2	Domain of unknown function (DUF4973)
PF16000	2	CARMIL C-terminus
PF15902	2	Sortilin, neurotensin receptor 3,
PF15901	2	Sortilin, neurotensin receptor 3, C-terminal
PF15598	2	Immunity protein 61
PF15495	2	Major fimbrial subunit protein type IV, Fimbrillin, C-terminal
PF14841	2	FliG middle domain
PF14834	2	Glutathione S-transferase, C-terminal domain
PF14717	2	Domain of unknown function (DUF4465)
PF14526	2	Integron-associated effector binding protein
PF14274	2	Domain of unknown function (DUF4361)
PF13972	2	Bacterial transcriptional repressor
PF13832	2	PHD-zinc-finger like domain
PF13831	2	PHD-finger
PF13590	2	Domain of unknown function (DUF4136)
PF13525	2	Outer membrane lipoprotein
PF13513	2	HEAT-like repeat
PF13385	2	Concanavalin A-like lectin/glucanases superfamily
PF13234	2	rRNA-processing arch domain
PF12985	2	Domain of unknown function (DUF3869)
PF12875	2	Protein of unknown function (DUF3826)
PF12763	2	Cytoskeletal-regulatory complex EF hand
PF12538	2	DNA transporter 
PF12352	2	Snare region anchored in the vesicle membrane C-terminus
PF12182	2	Bacterial lipoprotein
PF12166	2	Piezo non-specific cation channel, R-Ras-binding domain
PF12105	2	SpoU, rRNA methylase, C-terminal
PF11924	2	Inverse autotransporter, beta-domain
PF11529	2	Melampsora lini avirulence protein AvrL567-A
PF10991	2	Protein of unknown function (DUF2815)
PF10683	2	Hermes transposase DNA-binding domain  
PF10477	2	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
PF10448	2	20S proteasome chaperone assembly proteins 3 and 4
PF09491	2	AlwI restriction endonuclease
PF09392	2	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
PF09251	2	Salmonella phage P22 tail-spike
PF09196	2	Domain of unknown function (DUF1953)
PF08838	2	Protein of unknown function (DUF1811)
PF08801	2	Nup133 N terminal like
PF08752	2	Coatomer gamma subunit appendage platform subdomain
PF08608	2	Wyosine base formation
PF08357	2	SEFIR domain
PF08202	2	Mis12-Mtw1 protein family
PF08148	2	DSHCT (NUC185) domain
PF08145	2	BOP1NT (NUC169) domain
PF07979	2	Intimin C-type lectin domain
PF07749	2	Endoplasmic reticulum protein ERp29, C-terminal domain
PF07528	2	DZF domain
PF07515	2	Putative conjugal transfer nickase/helicase TraI C-term
PF07504	2	Fungalysin/Thermolysin Propeptide Motif
PF07177	2	Neuralized
PF07063	2	Domain of unknown function (DUF1338)
PF06865	2	Protein of unknown function (DUF1255)
PF06507	2	Auxin response factor
PF06331	2	Transcription factor TFIIH complex subunit Tfb5
PF06326	2	Vesiculovirus matrix protein
PF05913	2	Bacterial protein of unknown function (DUF871)
PF05903	2	PPPDE putative peptidase domain
PF05844	2	YopD protein
PF05823	2	Nematode fatty acid retinoid binding protein (Gp-FAR-1)
PF05488	2	PAAR motif
PF05139	2	Erythromycin esterase
PF04816	2	tRNA (adenine(22)-N(1))-methyltransferase
PF04683	2	Proteasome complex subunit Rpn13 ubiquitin receptor
PF04558	2	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1    
PF04541	2	Herpesvirus virion protein U34    
PF04278	2	Tic22-like family
PF04137	2	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04099	2	Sybindin-like family 
PF04086	2	Signal recognition particle, alpha subunit, N-terminal
PF03833	2	DNA polymerase II large subunit DP2
PF03822	2	NAF domain
PF03803	2	Scramblase 
PF03731	2	Ku70/Ku80 N-terminal alpha/beta domain
PF03462	2	PCRF domain
PF03131	2	bZIP Maf transcription factor
PF03106	2	WRKY DNA -binding domain
PF02953	2	Tim10/DDP family zinc finger
PF02899	2	Phage integrase, N-terminal SAM-like domain
PF02865	2	STAT protein, protein interaction domain
PF02679	2	(2R)-phospho-3-sulfolactate synthase (ComA)
PF02480	2	Alphaherpesvirus glycoprotein E
PF01881	2	CRISPR associated protein Cas6
PF01620	2	Ribonuclease (pollen allergen)
PF01611	2	Filovirus glycoprotein
PF00862	2	Sucrose synthase
PF00745	2	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00472	2	RF-1 domain
PF00360	2	Phytochrome region
PF00223	2	Photosystem I psaA/psaB protein
PF00157	2	Pou domain - N-terminal to homeobox domain
PF00002	2	7 transmembrane receptor (Secretin family)
